Datetime,Water Level (m)
2023-05-24 06:00:00,0.4914861
2023-05-24 07:00:00,1.0210863
2023-05-24 08:00:00,1.3936291
2023-05-24 09:00:00,1.337355
2023-05-24 10:00:00,1.1700274
2023-05-24 11:00:00,0.7849976
2023-05-24 12:00:00,0.17872842
2023-05-24 13:00:00,-0.29095593
2023-05-24 14:00:00,-0.6372755
2023-05-24 15:00:00,-0.89155275
2023-05-24 16:00:00,-0.9511474
2023-05-24 17:00:00,-0.54913956
2023-05-24 18:00:00,0.13227676
2023-05-24 19:00:00,0.60273397
2023-05-24 20:00:00,0.881462
2023-05-24 21:00:00,0.9722828
2023-05-24 22:00:00,0.7697234
2023-05-24 23:00:00,0.30469584
2023-05-25 00:00:00,-0.17582926
2023-05-25 01:00:00,-0.5565312
2023-05-25 02:00:00,-0.8209612
2023-05-25 03:00:00,-0.9703487
2023-05-25 04:00:00,-0.892104
2023-05-25 05:00:00,-0.4469957
2023-05-25 06:00:00,0.19110371
2023-05-25 07:00:00,0.73416793
2023-05-25 08:00:00,1.1534935
2023-05-25 09:00:00,1.3663768
2023-05-25 10:00:00,1.2938017
2023-05-25 11:00:00,0.9344163
2023-05-25 12:00:00,0.42441782
2023-05-25 13:00:00,-0.08930338
2023-05-25 14:00:00,-0.42373765
2023-05-25 15:00:00,-0.6321426
2023-05-25 16:00:00,-0.74401313
2023-05-25 17:00:00,-0.6703476
2023-05-25 18:00:00,-0.3506926
2023-05-25 19:00:00,0.09563137
2023-05-25 20:00:00,0.5379044
2023-05-25 21:00:00,0.8033217
2023-05-25 22:00:00,0.86139363
2023-05-25 23:00:00,0.6771019
2023-05-26 00:00:00,0.2578984
2023-05-26 01:00:00,-0.20311044
2023-05-26 02:00:00,-0.52998054
2023-05-26 03:00:00,-0.7389052
2023-05-26 04:00:00,-0.82999504
2023-05-26 05:00:00,-0.63898265
2023-05-26 06:00:00,-0.111681096
2023-05-26 07:00:00,0.41096455
2023-05-26 08:00:00,0.8490429
2023-05-26 09:00:00,1.1256783
2023-05-26 10:00:00,1.2516379
2023-05-26 11:00:00,1.1289482
2023-05-26 12:00:00,0.721163
2023-05-26 13:00:00,0.23134932
2023-05-26 14:00:00,-0.1477639
2023-05-26 15:00:00,-0.43297106
2023-05-26 16:00:00,-0.63022625
2023-05-26 17:00:00,-0.7177879
2023-05-26 18:00:00,-0.60694224
2023-05-26 19:00:00,-0.25599313
2023-05-26 20:00:00,0.18530682
2023-05-26 21:00:00,0.55457264
2023-05-26 22:00:00,0.77814215
2023-05-26 23:00:00,0.81652826
2023-05-27 00:00:00,0.6114048
2023-05-27 01:00:00,0.23401107
2023-05-27 02:00:00,-0.14588968
2023-05-27 03:00:00,-0.42198208
2023-05-27 04:00:00,-0.5878533
2023-05-27 05:00:00,-0.6413028
2023-05-27 06:00:00,-0.50095814
2023-05-27 07:00:00,-0.09147528
2023-05-27 08:00:00,0.3755165
2023-05-27 09:00:00,0.79126036
2023-05-27 10:00:00,1.0609024
2023-05-27 11:00:00,1.1783487
2023-05-27 12:00:00,1.0762635
2023-05-27 13:00:00,0.6882081
2023-05-27 14:00:00,0.23546925
2023-05-27 15:00:00,-0.14212282
2023-05-27 16:00:00,-0.42708966
2023-05-27 17:00:00,-0.61393255
2023-05-27 18:00:00,-0.7178226
2023-05-27 19:00:00,-0.64999914
2023-05-27 20:00:00,-0.2983363
2023-05-27 21:00:00,0.1001014
2023-05-27 22:00:00,0.4840255
2023-05-27 23:00:00,0.79833657
2023-05-28 00:00:00,0.8783184
2023-05-28 01:00:00,0.73557407
2023-05-28 02:00:00,0.41862836
2023-05-28 03:00:00,0.010895776
2023-05-28 04:00:00,-0.30971983
2023-05-28 05:00:00,-0.5159366
2023-05-28 06:00:00,-0.59531766
2023-05-28 07:00:00,-0.50446707
2023-05-28 08:00:00,-0.16123247
2023-05-28 09:00:00,0.30890745
2023-05-28 10:00:00,0.70504445
2023-05-28 11:00:00,0.9712233
2023-05-28 12:00:00,1.1102663
2023-05-28 13:00:00,1.022685
2023-05-28 14:00:00,0.6942653
2023-05-28 15:00:00,0.27062848
2023-05-28 16:00:00,-0.099283844
2023-05-28 17:00:00,-0.3895917
2023-05-28 18:00:00,-0.6139822
2023-05-28 19:00:00,-0.74366254
2023-05-28 20:00:00,-0.702193
2023-05-28 21:00:00,-0.38540307
